Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,165.031998,165.800003,163.500000,164.742004,161.002228,960
2017-11-07,164.977997,166.699997,163.800003,163.800003,160.081619,602
2017-11-08,164.199997,164.850006,160.000000,161.000000,157.345169,4559
2017-11-09,161.251999,163.404999,159.651001,159.651001,156.026794,1181
2017-11-10,161.500000,161.500000,158.800003,159.899994,156.270142,265
2017-11-13,159.847000,160.026993,157.000000,159.259995,155.644669,3877
2017-11-14,159.054993,159.054993,158.000000,158.115997,154.526642,399
2017-11-15,157.500000,157.500000,155.350006,155.550003,152.018890,1245
2017-11-16,156.697006,161.350006,156.697006,160.500000,156.856522,2021
2017-11-17,160.511002,161.350006,160.500000,160.500000,156.856522,478
2017-11-20,160.498993,167.649994,160.498993,167.250000,163.453293,2852
2017-11-21,166.783997,173.250000,166.783997,170.750000,166.873840,2395
2017-11-22,171.399994,171.399994,166.000000,166.000000,162.231674,1124
2017-11-23,168.203003,169.899994,166.001007,168.520004,164.694473,1579
2017-11-24,168.492004,171.050003,168.492004,169.393005,165.547653,745
2017-11-27,170.000000,170.000000,168.000000,169.184998,165.344360,1243
2017-11-28,169.001007,170.000000,168.350006,168.899994,165.065826,297
2017-11-29,171.600006,172.850006,171.600006,171.858002,167.956696,1953
2017-11-30,171.882996,175.000000,171.759995,175.000000,171.027359,814
2017-12-01,174.738007,175.100006,169.250000,170.490005,166.619751,861
2017-12-04,171.300003,171.839005,170.050003,170.421005,166.552307,648
2017-12-05,170.511993,170.600006,168.050003,168.050003,164.235138,779
2017-12-06,166.250000,167.100006,164.899994,165.850006,162.085083,589
2017-12-07,166.074005,169.000000,166.074005,167.878006,164.067047,796
2017-12-08,168.500000,170.511993,168.500000,170.511993,166.641235,1208
2017-12-11,170.727005,170.878006,169.850006,169.850006,165.994278,507
2017-12-12,171.500000,172.000000,169.149994,172.000000,168.095459,832
2017-12-13,170.750000,171.250000,170.050003,170.449997,166.580643,366
2017-12-14,169.860001,171.250000,169.738998,171.199997,167.313629,535
2017-12-15,170.000000,170.100998,168.449997,169.341995,165.497803,803
2017-12-18,170.304993,173.699997,170.304993,172.992004,169.064957,1777
2017-12-19,173.184006,173.184006,172.750000,172.843002,168.919327,670
2017-12-20,173.078995,173.078995,169.800003,170.214005,166.350006,545
2017-12-21,169.850998,171.128006,169.850998,171.128006,167.243271,354
2017-12-22,170.227005,170.615005,169.800003,170.000000,166.140869,665
2017-12-27,170.014999,170.649994,169.050003,169.750000,165.896545,590
2017-12-28,169.921005,170.000000,169.399994,170.000000,166.140869,143
2017-12-29,170.014008,170.014008,168.501007,168.850006,165.016983,537
2018-01-02,168.500000,168.600006,163.699997,168.600006,164.772659,850
2018-01-03,168.500000,172.199997,168.500000,170.800003,166.922714,3565
2018-01-04,171.600006,174.699997,171.600006,174.500000,170.538712,1144
2018-01-05,175.500000,179.100006,175.500000,177.800003,173.763809,1830
